iter	Passed	Remaining
892	2137	256
893	2140	253
894	2142	251
895	2144	248
896	2146	246
897	2149	244
898	2151	241
899	2153	239
900	2156	236
901	2157	234
902	2160	232
903	2162	229
904	2164	227
905	2167	224
906	2169	222
907	2171	220
908	2173	217
909	2175	215
910	2178	212
911	2180	210
912	2182	207
913	2185	205
914	2187	203
915	2190	200
916	2192	198
917	2194	196
918	2197	193
919	2199	191
920	2201	188
921	2203	186
922	2206	184
923	2208	181
924	2210	179
925	2213	176
926	2215	174
927	2217	172
928	2219	169
929	2222	167
930	2224	164
931	2227	162
932	2229	160
933	2231	157
934	2234	155
935	2236	152
936	2238	150
937	2241	148
938	2243	145
939	2245	143
940	2248	140
941	2250	138
942	2252	136
943	2255	133
944	2257	131
945	2259	128
946	2261	126
947	2264	124
948	2266	121
949	2268	119
950	2270	117
951	2273	114
952	2275	112
953	2277	109
954	2279	107
955	2281	105
956	2284	102
957	2286	100
958	2288	97
959	2291	95
960	2293	93
961	2296	90
962	2298	88
963	2301	85
964	2303	83
965	2306	81
966	2308	78
967	2311	76
968	2313	74
969	2315	71
970	2317	69
971	2320	66
972	2322	64
973	2324	62
974	2326	59
975	2328	57
976	2330	54
977	2332	52
978	2335	50
979	2337	47
980	2339	45
981	2342	42
982	2344	40
983	2347	38
984	2349	35
985	2352	33
986	2354	31
987	2356	28
988	2358	26
989	2361	23
990	2363	21
991	2365	19
992	2368	16
993	2370	14
994	2372	11
995	2374	9
996	2377	7
997	2378	4
998	2381	2
999	2383	0
